	Range Number		Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
2	32.251711	-26.155263	3.048224	41.299968	371.065490	1.000000	3.048224	-26.155263	32.251711	
3	35.856645	-25.078472	5.389086	43.087634	387.127035	1.000000	5.389086	-25.078472	35.856645	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 1000 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	34.034194	-25.525911	4.254141	42.115354	378.391441	1.000000	4.254141	-25.525911	34.034194	
2	32.195099	-24.467495	3.863802	40.066504	359.983259	1.000000	3.863802	-24.467495	32.195099	
3	31.083945	-25.358563	2.862691	39.910880	358.585032	1.000000	2.862691	-25.358563	31.083945	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 1250 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	33.508683	-30.298864	1.604910	45.118749	405.375876	1.000000	1.604910	-30.298864	33.508683	
2	33.749155	-29.399624	2.174765	44.652930	401.190661	1.000000	2.174765	-29.399624	33.749155	
3	34.549160	-29.038399	2.755381	44.963194	403.978274	1.000000	2.755381	-29.038399	34.549160	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 1600 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	33.951467	-31.823412	1.064027	46.509863	417.874536	1.000000	1.064027	-31.823412	33.951467	
2	34.597804	-30.731922	1.932941	46.195093	415.046441	1.000000	1.932941	-30.731922	34.597804	
3	35.166791	-31.238164	1.964313	46.955394	421.877481	1.000000	1.964313	-31.238164	35.166791	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 2000 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	32.759943	-34.644137	-0.942097	47.661882	428.225022	1.000000	-0.942097	-34.644137	32.759943	
2	35.720318	-31.791096	1.964611	47.737779	428.906923	1.000000	1.964611	-31.791096	35.720318	
3	35.260034	-31.858972	1.700531	47.460304	426.413916	1.000000	1.700531	-31.858972	35.260034	
